特征,检验方法,P值,显著性
64、出现腹痛是否出现在进食油腻或饮酒之后？,卡方检验,0.0065456932595960296,显著
5、您的身高是多少厘米？,Mann-Whitney U,0.019374853062906077,显著
19、是否经常吃汉中菜豆腐？_freq,卡方检验,0.06720909654394458,显著
7、年龄,卡方检验,0.09264955759857162,显著
58、你是否饮酒？（指每周至少一次，连续六个月或以上喝酒）,卡方检验,0.11732417290240439,显著
汉中传统饮食指数,卡方检验,0.13014690569976384,显著
42、高胆固醇血症,卡方检验,0.1995005417302401,显著
22、是否经常吃浆水面？_freq,卡方检验,0.2074757446015488,不显著
6、你的体重是多少Kg,Mann-Whitney U,0.2138392485864945,不显著
50、腌制肉_freq,卡方检验,0.21629470592177838,不显著
32、近一个月，总的来说，你认为自己的睡眠质量？,卡方检验,0.27591341967917954,不显著
27、第一个孩子出生时年龄是多少？,Mann-Whitney U,0.27660398354955074,不显著
17、近一年是否经常点外卖_freq,卡方检验,0.31703721545433994,不显著
26、你第一次来月经的年龄是？,Mann-Whitney U,0.34327993015276825,不显著
4、你的性别,卡方检验,0.3512881378286647,不显著
47、你的胆固醇数值是多少？（不清楚则填0）,卡方检验,0.4095867567810346,不显著
12、您是否每日按时一日三餐,卡方检验,0.41038526507486806,不显著
46、你的甘油三酯数值是多少？（不清楚则填0）,卡方检验,0.46631373358495165,不显著
14、您家中食用水是否使用净水器,卡方检验,0.46955669916394804,不显著
29、你的绝经年龄是多少岁？,卡方检验,0.5099133832586582,不显著
10、您所生活的县区,Mann-Whitney U,0.5236389168400015,不显著
41、高胆固醇,卡方检验,0.5366076506213018,不显著
11、近一年你是否经常运动？_freq,卡方检验,0.5682738315614113,不显著
21、火锅锅底常选择？,卡方检验,0.6376609515378286,不显著
41、高血脂,卡方检验,0.639802124117598,不显著
20、是否经常吃火锅？_freq,卡方检验,0.7137933083221963,不显著
55、截至目前，你是否吸过烟？（指每天至少吸一支，或连续吸烟六个月以上。）,卡方检验,0.9097539230406508,不显著
39、近一个月每天通常实际睡眠几个小时？,Mann-Whitney U,0.9249847962868398,不显著
31、其他影响睡眠的事。_freq,卡方检验,0.9394580201483089,不显著
56、你吸烟共多少年。,Mann-Whitney U,0.954338233342732,不显著
31、近一个月因下列情况影响睡眠而烦恼。—入睡困难，30分钟内不能入睡。_freq,卡方检验,1.0,不显著
18、是否经常吃汉中米皮？_freq,卡方检验,1.0,不显著
16、您家中一壶食用油食用多久？（5升一壶）_freq,样本不足,1.0,不显著
