feature,importance
37、近一个月从上床到睡觉通常需要多少分钟？,0.037443660976425826
5、您的身高是多少厘米？,0.03490195206513638
6、你的体重是多少Kg,0.034843508528633424
50、水。（一杯500毫升。）,0.034133811659287874
43、你是否患有一下疾病,0.03363067714413145
10、您所生活的县区,0.03240170057452921
50、腌制肉,0.02902195584918337
48、沙拉酱。,0.02877989789502324
50、芹菜。,0.028604849271723118
50、即食燕麦。（一份。）,0.026809688173018972
48、调味品使用情况（单位：匙）—酱油。,0.02629017048096893
13、您家里饮食用水常来自于哪里？,0.026219241182927188
50、草莓。（一豆浆杯那么大。）,0.024639555571469053
50、菠菜。,0.024293883099148785
50、白萝卜，水萝卜。,0.023946803264194943
50、米面，凉皮，米线，（一中碗。）,0.023185350987401817
50、洋葱，大葱，小葱。,0.023016851502790075
50、其他含糖饮料。（七喜、果啤、冰峰一瓶330毫升。）,0.022961505207578673
50、纯奶 （一盒250毫升。）,0.02261001590571227
50、面条。（一中碗。）,0.022072718740184655
50、鸡蛋 （一个。）,0.0217574613200805
50、圣女果，（一份五个。）,0.02144198492345779
50、核桃馍,0.021078303288711124
50、木耳。（泡。）,0.020728986291709335
50、韭菜。,0.01993511150849336
50、绿豆，红豆，蚕豆。（一把。）,0.019261139030595585
31、夜间夜醒或早醒。,0.019164360074503808
50、红薯。（一个。）,0.01881843006358927
51、使用泻药或灌肠。,0.01880819436693187
40、你的父母是否汉中本地人,0.018659702475131153
38、近一个月通常早上几点钟起床？,0.018658161680326236
35、近一个月，你做事情的精力不足吗？,0.018588063213420485
50、馒头，花卷，包子，饼。（一个。）,0.017839258524330718
50、紫甘蓝。,0.017583921290104932
64、出现腹痛是否出现在进食油腻或饮酒之后？,0.017212978429698874
66、你的性格特点？,0.016924885566708004
50、动物内脏，（如两小段猪大肠。）,0.01649792888776011
15、你的家庭长期几口人一起生活？,0.014678233538146955
51、频繁的放屁。,0.01446326834583083
11、近一年你是否经常运动？,0.014103913639329009
41、恶性肿瘤。,0.011492214015231712
50、黄豆，黑豆。,0.01110296594816031
42、糖尿病。,0.010859779692006655
30、我觉得心跳很快。,0.010501840639636042
30、我的手常常是干燥温暖的。,0.010302586445397529
2、你周围的朋友或亲属有没有胆囊结石？,0.008566018870576219
63、发现胆囊结石以来是否出现过腹痛？,0.006188219384281981
29、你的绝经年龄是多少岁？,0.004974290466380357
