特征,特征,Logistic回归,决策树,随机森林
10、您所生活的县区,4、你的性别,0.05851762344250789,0.19101592371488468,0.14410453807148985
11、近一年你是否经常运动？,7、年龄,0.08359936783638876,0.18263201006936464,0.06483431429201966
12、您是否每日按时一日三餐,18、是否经常吃汉中米皮？,0.06687305641972585,0.0,0.09944993249656843
13、您家里饮食用水常来自于哪里？,19、是否经常吃汉中菜豆腐？,0.05216676944266329,0.1061597548232192,0.13448392577857288
14、您家中食用水是否使用净水器,20、是否经常吃火锅？,0.055075897040638686,0.1495958769474729,0.038343981130022464
16、您家中一壶食用油食用多久？（5升一壶）,21、火锅锅底常选择？,0.07949077183885227,0.0,0.08620251608929377
17、近一年是否经常点外卖,22、是否经常吃浆水面？,0.08489872525798424,0.0,0.07365062296139896
18、是否经常吃汉中米皮？,16、您家中一壶食用油食用多久？（5升一壶）,0.084021317858586,0.0,0.05482509313493178
19、是否经常吃汉中菜豆腐？,17、近一年是否经常点外卖,0.07738901309528845,0.0,0.029082675992775156
20、是否经常吃火锅？,11、近一年你是否经常运动？,0.06063546648707182,0.0,0.007270265146904306
21、火锅锅底常选择？,12、您是否每日按时一日三餐,0.058283722695457764,0.0,0.028114585458426163
22、是否经常吃浆水面？,13、您家里饮食用水常来自于哪里？,0.05422110836059241,0.10496336222034625,0.05639102230435502
30、我的手常常是干燥温暖的。,14、您家中食用水是否使用净水器,0.07348299283424807,0.0,0.05352063744352788
4、你的性别,10、您所生活的县区,0.04761052039783028,0.0,0.03999633159720332
7、年龄,30、我的手常常是干燥温暖的。,0.06373364699216416,0.2656330722247123,0.0897295581025105
